Scraped At,Product Name,Selling Price,Original Price,Discount (shown),Discount % (calculated),Rating,Reviews,Product URL,Page
2026-03-02 00:05:36,Gwalior Suitings Beige Semi Formal Safari Suit,0.656,0.999,34% Off,34.33,,(1),https://www.snapdeal.com/product/raymond-yellow-cotton-blend-mens/629993654971,1
2026-03-02 00:05:36,Makhanchor White 100 Percent Cotton Unstitched Shirt pc Single,0.332,0.999,67% Off,66.77,,(251),https://www.snapdeal.com/product/gwalior-grey-poly-blend-unstitched/628320618754,1
2026-03-02 00:05:36,KUNDAN SULZ GWALIOR Green Cotton Blend Unstitched Shirt pc,0.391,0.999,61% Off,60.86,,(5),https://www.snapdeal.com/product/kundan-sulz-gwalior-multi-cotton/683670671961,1
2026-03-02 00:05:36,Maharaja Multi Poly Viscose Unstitched Shirts & Trousers,0.601,0.2,70% Off,-200.5,,(1),https://www.snapdeal.com/product/raymond-navy-polyester-blend-mens/626712244336,1
2026-03-02 00:05:36,KUNDAN SULZ GWALIOR Multi Cotton Blend Unstitched Shirts & Trousers 1 Pant & 1 Shirt Pc For Men's,0.528,0.1099,52% Off,-380.44,,(36),https://www.snapdeal.com/product/kundan-sulz-gwalior-black-cotton/635823557816,1
2026-03-02 00:05:36,Gwalior Men's Premium Shirt and Trouser Combo,0.44,0.1399,69% Off,-214.51,,,https://www.snapdeal.com/product/makhanchor-white-linen-mens-unstitched/680387867368,1
2026-03-02 00:05:36,Makhanchor Navy 100 Percent Cotton Unstitched Shirt pc Single,0.328,0.999,67% Off,67.17,,(1),https://www.snapdeal.com/product/kundan-sulz-gwalior-multi-cotton/654757574872,1
2026-03-02 00:05:36,KUNDAN SULZ GWALIOR Multi Cotton Blend Unstitched Pant Pc Pack of 3 Pant Pieces,0.773,0.2499,69% Off,-209.32,,(6),https://www.snapdeal.com/product/maharaja-black-poly-blend-unstitched/637874286470,1
2026-03-02 00:05:36,Raymond - White Cotton Men's Unstitched Pant Piece ( Pack of 1 ),0.613,0.957,36% Off,35.95,,,https://www.snapdeal.com/product/raymond-maroon-cotton-blend-mens/628182517451,1
2026-03-02 00:05:36,KUNDAN SULZ GWALIOR Multi Cotton Blend Unstitched Shirts & Trousers 1 Pant & 1 Shirt Pc For Men's,0.528,0.1099,52% Off,-380.44,,(3),https://www.snapdeal.com/product/kundan-beige-poly-viscose-unstitched/649392136627,1
2026-03-02 00:05:36,Makhanchor White Linen Blended Unstitched Shirt pc Single,0.404,0.1199,66% Off,-236.95,,(31),https://www.snapdeal.com/product/gwalior-suitings-navy-poly-blend/915908190,1
2026-03-02 00:05:36,Fabkart Light Blue Polyester Men's Unstitched Shirt Piece ( Pack of 1 ),0.249,0.799,69% Off,68.84,,(2),https://www.snapdeal.com/product/makhanchor-white-100-percent-cotton/627610551229,1
2026-03-02 00:05:36,KUNDAN SULZ GWALIOR Multi Cotton Blend Unstitched Shirt pc ( 3 Shirt Pieces ),0.656,0.2099,69% Off,-212.53,,,https://www.snapdeal.com/product/kundan-sulz-gwalior-multi-100/640777996088,1
2026-03-02 00:05:36,Makhanchor Blue 100 Percent Cotton Unstitched Shirt pc Single,0.328,0.499,34% Off,34.27,,(114),https://www.snapdeal.com/product/gwalior-black-poly-blend-unstitched/644900716443,1
2026-03-02 00:05:36,KUNDAN SULZ GWALIOR Multi Cotton Blend Unstitched Shirts & Trousers 2 Pieces ( 1 Pant & 1 Shirt Piece ),0.52,0.1199,57% Off,-333.69,,(52),https://www.snapdeal.com/product/kundan-sulz-gwalior-green-cotton/632412768648,1
2026-03-02 00:05:36,Makhanchor Blue 100 Percent Cotton Unstitched Shirt pc Single,0.328,0.499,34% Off,34.27,,(30),https://www.snapdeal.com/product/siyaram-white-linen-blended-unstitched/657895032961,1
2026-03-02 00:05:36,Raymond Black Polyester Men's Unstitched Pant Piece ( Pack of 1 ),0.608,0.1199,49% Off,-407.09,,(22),https://www.snapdeal.com/product/gwalior-suitings-beige-semi-formal/671872048858,1
2026-03-02 00:05:36,KUNDAN SULZ GWALIOR Multi Cotton Blend Unstitched Shirts & Trousers 1 Pant & 1 Shirt Pc For Men's,0.547,0.1099,50% Off,-397.73,,(49),https://www.snapdeal.com/product/kundan-sulz-gwalior-multi-cotton/655185508282,1
2026-03-02 00:05:36,Maharaja Blue Cotton Blend Men's Unstitched Kurta ( Pack of 1 ),0.379,0.25,85% Off,-51.6,,(88),https://www.snapdeal.com/product/makhanchor-white-linen-unstitched-shirt/677633011984,1
2026-03-02 00:05:36,KUNDAN SULZ GWALIOR Purple Cotton Blend Men's Unstitched Shirt Piece ( Pack of 1 ),0.327,0.799,59% Off,59.07,,(89),https://www.snapdeal.com/product/kundan-sulz-gwalior-maroon-cotton/666967937058,1
2026-02-26 09:54:21,KUNDAN SULZ GWALIOR Multi Cotton Blend Unstitched Shirts & Trousers 1 Pant & 1 Shirt Pc For Men's,0.528,0.1099,52% Off,-380.44,,(7),https://www.snapdeal.com/product/kundan-sulz-gwalior-multi-cotton/673016538939,1
2026-02-26 09:54:21,Raymond Grey Polyester Men's Unstitched Pant Piece ( Pack of 1 ),0.582,0.911,36% Off,36.11,,(1),https://www.snapdeal.com/product/raymond-grey-polyester-blend-mens/674141679054,1
